"module","schema_version","data_version"
"Mirasvit_Misspell","1.0.1","1.0.1"
"Mirasvit_Mq","1.0.0","1.0.0"
"Mirasvit_PushNotification","1.0.5","1.0.5"
"Mirasvit_Report","1.0.3","1.0.3"
"Mirasvit_ReportBuilder","1.0.0","1.0.0"
"Mirasvit_Reports","1.0.1","1.0.1"
"Mirasvit_Search","1.0.13","1.0.13"
"Mirasvit_SearchAutocomplete","1.0.0","1.0.0"
"Mirasvit_SearchElastic","1.0.0","1.0.0"
"Mirasvit_SearchElasticNative","1.0.0","1.0.0"
"Mirasvit_SearchElasticUltimate","1.0.0","1.0.0"
"Mirasvit_SearchGraphQl","1.0.0","1.0.0"
"Mirasvit_SearchLanding","1.0.1","1.0.1"
"Mirasvit_SearchMysql","1.0.0","1.0.0"
"Mirasvit_SearchReport","1.0.0","1.0.0"
"Mirasvit_SearchSphinx","1.0.0","1.0.0"
"Mirasvit_SearchUltimate","1.0.0","1.0.0"
"MSP_ReCaptcha","1.6.0","1.6.0"
"MSP_TwoFactorAuth","3.1.0","3.1.0"
"Mtn_AcceptBlue","1.0.11","1.0.11"
"Omnisend_Omnisend","1.2.0","1.2.0"
"ParadoxLabs_Authnetcim","5.0.0","5.0.0"
"ParadoxLabs_TokenBase","4.1.0.20180322","4.1.0.20180322"
"PayPal_Braintree","4.0.3","4.0.3"
"Rootways_Authorizecim","4.0.0","4.0.0"
"ScandiPWA_ContactGraphQl","1.0.0","1.0.0"
"ScandiPWA_CustomerDownloadableGraphQl","1.0.0","1.0.0"
"ScandiPWA_DirectoryGraphQl","1.0.0","1.0.0"
"ScandiPWA_ProductAlertsGraphQl","1.0.0","1.0.0"
"ScandiPWA_StoreGraphQL","1.0.0","1.0.0"
"Scandiweb_Core","0.1.3","0.1.3"
"Scandiweb_Slider","1.0.15","1.0.15"
"Smartwave_Core","2.0.0","2.0.0"
"Smartwave_Dailydeals","1.0.0","1.0.0"
"Smartwave_Filterproducts","2.0.1","2.0.1"
"Smartwave_Megamenu","2.1.0","2.1.0"
"Smartwave_Porto","3.2.4","3.2.4"
"Smartwave_Socialfeeds","2.0.0","2.0.0"
"Temando_Shipping","1.6.0","1.6.0"
"Vapewholesaleusa_AgeVerification","1.0.0","1.0.0"
"Vapewholesaleusa_AheadworksRewardPoints","1.0.0","1.0.0"
"Vapewholesaleusa_AmastyBannersLite","1.0.0","1.0.0"
"Vapewholesaleusa_AmastyCheckoutCore","1.0.0","1.0.0"
"Vapewholesaleusa_AmastyConditions","1.0.0","1.0.0"
"Vapewholesaleusa_AmastyCustomerAttributes","1.0.0","1.0.0"
"Vapewholesaleusa_AmastyGroupcat","1.0.0","1.0.0"
"Vapewholesaleusa_AmastyImageOptimizer","1.0.0","1.0.0"
"Vapewholesaleusa_AmastyPageSpeedTools","1.0.0","1.0.0"
"Vapewholesaleusa_AmastyPromo","1.0.0","1.0.0"
"Vapewholesaleusa_AmastyReports","1.0.0","1.0.0"
"Vapewholesaleusa_AmastyRules","1.0.0","1.0.0"
"Vapewholesaleusa_AmastySalesRuleWizard","1.0.0","1.0.0"
"Vapewholesaleusa_AmastyStoreCredit","1.0.0","1.0.0"
"Vapewholesaleusa_AttributeRemover","1.0.7","1.0.7"
"Vapewholesaleusa_AutoHoldForCustomerGroup","1.0.0","1.0.0"
"Vapewholesaleusa_Blogs","1.0.0","1.0.0"
"Vapewholesaleusa_BssConfiguableGridView","1.0.0","1.0.0"
"Vapewholesaleusa_CacheImprove","1.0.0","1.0.0"
"Vapewholesaleusa_CmindsSalesrep","1.0.0","1.0.0"
"Vapewholesaleusa_CriticalCss","1.0.0.0","1.0.0.0"
"Vapewholesaleusa_DeferJs","1.0.0","1.0.0"
"Vapewholesaleusa_ExportInvoice","1.0.0","1.0.0"
"Vapewholesaleusa_FirebearImportExport","1.0.0","1.0.0"
