"scope","scope_id","path"
"default","0","weltpixel_owl_carousel_config/bestsell_products/items_brk1"
"default","0","weltpixel_owl_carousel_config/bestsell_products/items_brk2"
"default","0","weltpixel_owl_carousel_config/bestsell_products/items_brk3"
"default","0","weltpixel_owl_carousel_config/bestsell_products/items_brk4"
"default","0","weltpixel_owl_carousel_config/bestsell_products/lazyLoad"
"default","0","weltpixel_owl_carousel_config/bestsell_products/loop"
"default","0","weltpixel_owl_carousel_config/bestsell_products/margin"
"default","0","weltpixel_owl_carousel_config/bestsell_products/max_items"
"default","0","weltpixel_owl_carousel_config/bestsell_products/navSpeed"
"default","0","weltpixel_owl_carousel_config/bestsell_products/nav_brk1"
"default","0","weltpixel_owl_carousel_config/bestsell_products/nav_brk2"
"default","0","weltpixel_owl_carousel_config/bestsell_products/nav_brk3"
"default","0","weltpixel_owl_carousel_config/bestsell_products/nav_brk4"
"default","0","weltpixel_owl_carousel_config/bestsell_products/nav_design"
"default","0","weltpixel_owl_carousel_config/bestsell_products/period"
"default","0","weltpixel_owl_carousel_config/bestsell_products/random_sort"
"default","0","weltpixel_owl_carousel_config/bestsell_products/rtl"
"default","0","weltpixel_owl_carousel_config/bestsell_products/Separatorbreakpoint"
"default","0","weltpixel_owl_carousel_config/bestsell_products/separatorSlider"
"default","0","weltpixel_owl_carousel_config/bestsell_products/show_addto"
"default","0","weltpixel_owl_carousel_config/bestsell_products/show_compare"
"default","0","weltpixel_owl_carousel_config/bestsell_products/show_price"
"default","0","weltpixel_owl_carousel_config/bestsell_products/show_reviews_ratings"
"default","0","weltpixel_owl_carousel_config/bestsell_products/show_wishlist"
"default","0","weltpixel_owl_carousel_config/bestsell_products/slide_by"
"default","0","weltpixel_owl_carousel_config/bestsell_products/stagePadding_brk1"
"default","0","weltpixel_owl_carousel_config/bestsell_products/stagePadding_brk2"
"default","0","weltpixel_owl_carousel_config/bestsell_products/stagePadding_brk3"
"default","0","weltpixel_owl_carousel_config/bestsell_products/stagePadding_brk4"
"default","0","weltpixel_owl_carousel_config/bestsell_products/status"
"default","0","weltpixel_owl_carousel_config/bestsell_products/s_1"
"default","0","weltpixel_owl_carousel_config/bestsell_products/s_2"
"default","0","weltpixel_owl_carousel_config/bestsell_products/s_3"
"default","0","weltpixel_owl_carousel_config/bestsell_products/s_4"
"default","0","weltpixel_owl_carousel_config/bestsell_products/title"
"default","0","weltpixel_owl_carousel_config/category_products/autoplay"
"default","0","weltpixel_owl_carousel_config/category_products/autoplayHoverPause"
"default","0","weltpixel_owl_carousel_config/category_products/autoplayTimeout"
"default","0","weltpixel_owl_carousel_config/category_products/center_brk1"
"default","0","weltpixel_owl_carousel_config/category_products/center_brk2"
"default","0","weltpixel_owl_carousel_config/category_products/center_brk3"
"default","0","weltpixel_owl_carousel_config/category_products/center_brk4"
"default","0","weltpixel_owl_carousel_config/category_products/dotsEach_brk1"
"default","0","weltpixel_owl_carousel_config/category_products/dotsEach_brk2"
"default","0","weltpixel_owl_carousel_config/category_products/dotsEach_brk3"
"default","0","weltpixel_owl_carousel_config/category_products/dotsEach_brk4"
"default","0","weltpixel_owl_carousel_config/category_products/dotsSpeed"
"default","0","weltpixel_owl_carousel_config/category_products/dots_brk1"
"default","0","weltpixel_owl_carousel_config/category_products/dots_brk2"
"default","0","weltpixel_owl_carousel_config/category_products/dots_brk3"
"default","0","weltpixel_owl_carousel_config/category_products/dots_brk4"
"default","0","weltpixel_owl_carousel_config/category_products/items_brk1"
"default","0","weltpixel_owl_carousel_config/category_products/items_brk2"
"default","0","weltpixel_owl_carousel_config/category_products/items_brk3"
"default","0","weltpixel_owl_carousel_config/category_products/items_brk4"
"default","0","weltpixel_owl_carousel_config/category_products/lazyLoad"
"default","0","weltpixel_owl_carousel_config/category_products/loop"
"default","0","weltpixel_owl_carousel_config/category_products/margin"
"default","0","weltpixel_owl_carousel_config/category_products/max_items"
"default","0","weltpixel_owl_carousel_config/category_products/navSpeed"
"default","0","weltpixel_owl_carousel_config/category_products/nav_brk1"
"default","0","weltpixel_owl_carousel_config/category_products/nav_brk2"
"default","0","weltpixel_owl_carousel_config/category_products/nav_brk3"
"default","0","weltpixel_owl_carousel_config/category_products/nav_brk4"
"default","0","weltpixel_owl_carousel_config/category_products/nav_design"
"default","0","weltpixel_owl_carousel_config/category_products/random_sort"
"default","0","weltpixel_owl_carousel_config/category_products/rtl"
"default","0","weltpixel_owl_carousel_config/category_products/Separatorbreakpoint"
"default","0","weltpixel_owl_carousel_config/category_products/separatorSlider"
"default","0","weltpixel_owl_carousel_config/category_products/show_addto"
"default","0","weltpixel_owl_carousel_config/category_products/show_compare"
"default","0","weltpixel_owl_carousel_config/category_products/show_price"
"default","0","weltpixel_owl_carousel_config/category_products/show_reviews_ratings"
"default","0","weltpixel_owl_carousel_config/category_products/show_wishlist"
"default","0","weltpixel_owl_carousel_config/category_products/slide_by"
"default","0","weltpixel_owl_carousel_config/category_products/stagePadding_brk1"
"default","0","weltpixel_owl_carousel_config/category_products/stagePadding_brk2"
"default","0","weltpixel_owl_carousel_config/category_products/stagePadding_brk3"
"default","0","weltpixel_owl_carousel_config/category_products/stagePadding_brk4"
"default","0","weltpixel_owl_carousel_config/category_products/status"
"default","0","weltpixel_owl_carousel_config/category_products/s_1"
"default","0","weltpixel_owl_carousel_config/category_products/s_2"
